26 Jan 2019 | 15:08:33,429 | DEBUG | main | binding.impl.EzyObjectReaderElementsFetcher |     | scan field localDateTime
26 Jan 2019 | 15:08:33,429 | DEBUG | main | binding.impl.EzyObjectReaderElementsFetcher |     | scan field clazz
26 Jan 2019 | 15:08:33,430 | DEBUG | main | binding.impl.EzyObjectReaderElementsFetcher |     | scan field $jacocoData
26 Jan 2019 | 15:08:33,430 | DEBUG | main | binding.impl.EzyObjectReaderElementsFetcher |     | field $jacocoData has not getter/setter, ignore it
26 Jan 2019 | 15:08:33,430 | DEBUG | main | binding.impl.EzyObjectReaderElementsFetcher |     | scan field x
26 Jan 2019 | 15:08:33,431 | DEBUG | main | binding.impl.EzyObjectReaderElementsFetcher |     | scan field y
26 Jan 2019 | 15:08:33,431 | DEBUG | main | binding.impl.EzyObjectReaderElementsFetcher |     | scan field $jacocoData
26 Jan 2019 | 15:08:33,432 | DEBUG | main | binding.impl.EzyObjectReaderElementsFetcher |     | field $jacocoData has not getter/setter, ignore it
26 Jan 2019 | 15:08:33,432 | DEBUG | main | binding.impl.EzyObjectReaderElementsFetcher |     | finish scan class com.tvd12.ezyfox.binding.testing.Point
26 Jan 2019 | 15:08:33,446 | DEBUG | main | binding.impl.EzyObjectUnwrapperBuilder |     | class com.tvd12.ezyfox.binding.testing.Point$EzyObjectUnwrapper$EzyAutoImpl$2 has generated
26 Jan 2019 | 15:08:33,447 | DEBUG | main | binding.impl.EzyObjectWriterElementsFetcher |     | start scan class com.tvd12.ezyfox.binding.testing.EzyTestData
26 Jan 2019 | 15:08:33,448 | DEBUG | main | binding.impl.EzyObjectWriterElementsFetcher |     | scan field data1
26 Jan 2019 | 15:08:33,448 | DEBUG | main | binding.impl.EzyObjectWriterElementsFetcher |     | scan field data2
26 Jan 2019 | 15:08:33,448 | DEBUG | main | binding.impl.EzyObjectWriterElementsFetcher |     | scan field data3
26 Jan 2019 | 15:08:33,449 | DEBUG | main | binding.impl.EzyObjectWriterElementsFetcher |     | scan field $jacocoData
26 Jan 2019 | 15:08:33,449 | DEBUG | main | binding.impl.EzyObjectWriterElementsFetcher |     | field $jacocoData has not getter/setter, ignore it
26 Jan 2019 | 15:08:33,449 | DEBUG | main | binding.impl.EzyObjectWriterElementsFetcher |     | finish scan class com.tvd12.ezyfox.binding.testing.EzyTestData
26 Jan 2019 | 15:08:33,462 | DEBUG | main | binding.impl.EzyObjectWriterBuilder |     | class com.tvd12.ezyfox.binding.testing.EzyTestData$EzyObjectWriter$EzyAutoImpl$3 has generated
26 Jan 2019 | 15:08:33,463 | DEBUG | main | binding.impl.EzyObjectReaderElementsFetcher |     | start scan class com.tvd12.ezyfox.binding.testing.EzyTestData
26 Jan 2019 | 15:08:33,464 | DEBUG | main | binding.impl.EzyObjectReaderElementsFetcher |     | scan field data1
26 Jan 2019 | 15:08:33,464 | DEBUG | main | binding.impl.EzyObjectReaderElementsFetcher |     | scan field data2
26 Jan 2019 | 15:08:33,464 | DEBUG | main | binding.impl.EzyObjectReaderElementsFetcher |     | scan field data3
26 Jan 2019 | 15:08:33,467 | DEBUG | main | binding.impl.EzyObjectReaderElementsFetcher |     | scan field $jacocoData
26 Jan 2019 | 15:08:33,467 | DEBUG | main | binding.impl.EzyObjectReaderElementsFetcher |     | field $jacocoData has not getter/setter, ignore it
26 Jan 2019 | 15:08:33,468 | DEBUG | main | binding.impl.EzyObjectReaderElementsFetcher |     | finish scan class com.tvd12.ezyfox.binding.testing.EzyTestData
26 Jan 2019 | 15:08:33,475 | DEBUG | main | binding.impl.EzyObjectReaderBuilder |     | class com.tvd12.ezyfox.binding.testing.EzyTestData$EzyObjectReader$EzyAutoImpl$3 has generated
26 Jan 2019 | 15:08:33,476 | DEBUG | main | binding.impl.EzyObjectReaderElementsFetcher |     | start scan class com.tvd12.ezyfox.binding.testing.EzyTestData
26 Jan 2019 | 15:08:33,476 | DEBUG | main | binding.impl.EzyObjectReaderElementsFetcher |     | scan field data1
26 Jan 2019 | 15:08:33,477 | DEBUG | main | binding.impl.EzyObjectReaderElementsFetcher |     | scan field data2
26 Jan 2019 | 15:08:33,477 | DEBUG | main | binding.impl.EzyObjectReaderElementsFetcher |     | scan field data3
26 Jan 2019 | 15:08:33,479 | DEBUG | main | binding.impl.EzyObjectReaderElementsFetcher |     | scan field $jacocoData
26 Jan 2019 | 15:08:33,479 | DEBUG | main | binding.impl.EzyObjectReaderElementsFetcher |     | field $jacocoData has not getter/setter, ignore it
26 Jan 2019 | 15:08:33,481 | DEBUG | main | binding.impl.EzyObjectReaderElementsFetcher |     | finish scan class com.tvd12.ezyfox.binding.testing.EzyTestData
26 Jan 2019 | 15:08:33,489 | DEBUG | main | binding.impl.EzyObjectUnwrapperBuilder |     | class com.tvd12.ezyfox.binding.testing.EzyTestData$EzyObjectUnwrapper$EzyAutoImpl$3 has generated
26 Jan 2019 | 15:08:33,599 | INFO  | main | binding.testing.EzyAbstractReaderBuilderTest |     | ===== Start test EzyAbstractReaderBuilderTest =====
26 Jan 2019 | 15:08:33,605 | INFO  | main | binding.testing.EzyAbstractReaderBuilderTest |     | ===== Finish test EzyAbstractReaderBuilderTest, Time elapsed = 6 =====
26 Jan 2019 | 15:08:33,606 | INFO  | main | binding.testing.EzyAbstractTemplateTest |     | ===== Start test EzyAbstractTemplateTest =====
26 Jan 2019 | 15:08:33,608 | INFO  | main | binding.testing.EzyAbstractTemplateTest |     | ===== Finish test EzyAbstractTemplateTest, Time elapsed = 2 =====
26 Jan 2019 | 15:08:33,609 | DEBUG | main | binding.impl.EzyObjectWriterElementsFetcher |     | start scan class com.tvd12.ezyfox.binding.testing.Point
26 Jan 2019 | 15:08:33,610 | DEBUG | main | binding.impl.EzyObjectWriterElementsFetcher |     | scan field z
26 Jan 2019 | 15:08:33,611 | DEBUG | main | binding.impl.EzyObjectWriterElementsFetcher |     | scan field a1
26 Jan 2019 | 15:08:33,612 | DEBUG | main | binding.impl.EzyObjectWriterElementsFetcher |     | scan field point
26 Jan 2019 | 15:08:33,614 | DEBUG | main | binding.impl.EzyObjectWriterElementsFetcher |     | scan field data
